node_id,x,y,z
12624,1457.53,573.248,197.336
12625,1461.59,570.194,191.611
12626,1461.59,570.194,197.151
12627,1465.67,567.121,191.485
12628,1465.67,567.121,196.953
12629,1469.78,564.03,191.354
12630,1469.78,564.03,196.729
12631,1473.92,560.921,191.216
12632,1473.92,560.921,196.447
12633,1478.07,557.792,191.072
12634,1478.07,557.792,196.16
12635,1482.26,554.645,190.919
12636,1482.26,554.645,195.838
12637,1494.96,545.087,190.407
12638,1498.97,542.071,190.228
12639,1498.97,542.071,186.194
12640,1460.54,508.41,186.862
12641,1465.25,504.867,186.608
12642,1460.54,508.41,191.906
12643,1465.25,504.868,191.396
12644,1366.05,579.502,189.95
12645,1369.91,576.603,189.86
12646,1369.91,576.603,193.912
12647,1362.21,582.39,190.041
12648,1362.21,582.39,193.335
12649,1373.77,573.691,189.771
12650,1373.77,573.691,194.156
12651,1377.67,570.761,189.681
12652,1377.67,570.761,194.336
12653,1381.59,567.814,189.59
12654,1381.59,567.814,194.486
12655,1385.55,564.835,189.498
12656,1385.55,564.835,194.601
12657,1389.49,561.868,189.404
12658,1389.49,561.868,194.692
12659,1393.48,558.869,189.308
12660,1393.48,558.869,194.763
12661,1397.48,555.853,189.208
12662,1397.48,555.853,194.803
12663,1401.52,552.82,189.105
12664,1401.52,552.82,194.829
12665,1405.57,549.768,188.997
12666,1405.57,549.768,194.824
12667,1409.65,546.699,188.883
12668,1409.65,546.699,194.784
12669,1413.76,543.611,188.764
12670,1413.76,543.611,194.716
12671,1417.88,540.506,188.637
12672,1417.88,540.506,194.621
12673,1422.04,537.382,188.503
12674,1422.04,537.382,194.499
12675,1426.21,534.239,188.36
12676,1426.21,534.239,194.349
12677,1430.42,531.078,188.209
12678,1430.42,531.078,194.165
12679,1434.64,527.898,188.048
12680,1434.64,527.898,193.946
12681,1438.89,524.698,187.877
12682,1438.89,524.698,193.693
12683,1443.17,521.48,187.696
12684,1443.17,521.48,193.409
12685,1447.48,518.242,187.504
12686,1447.48,518.242,193.093
12687,1451.81,514.984,187.301
12688,1451.81,514.984,192.743
12689,1456.16,511.707,187.087
12690,1456.16,511.707,192.349
12691,1469.39,501.755,186.376
12692,1473.54,498.632,186.135
12693,1473.54,498.632,190.415
12694,1758.64,1003.7,243.591
12695,1760.95,1001.96,243.527
12696,1758.64,1003.7,246.118
12697,1760.95,1001.96,245.912
12698,1707.2,1042.4,245.015
12699,1709.57,1040.61,244.949
12700,1707.2,1042.4,247.085
12701,1709.57,1040.61,247.2
12702,1704.84,1044.18,245.08
12703,1704.84,1044.18,246.886
12704,1711.4,1039.24,244.897
12705,1711.4,1039.24,247.292
12706,1713.52,1037.64,244.836
12707,1713.52,1037.64,247.396
12708,1715.66,1036.04,244.774
12709,1715.66,1036.04,247.487
12710,1717.8,1034.42,244.712
12711,1717.8,1034.42,247.527
12712,1719.96,1032.8,244.649
12713,1719.96,1032.8,247.538
12714,1722.13,1031.17,244.585
12715,1722.13,1031.17,247.547
12716,1724.31,1029.53,244.522
12717,1724.31,1029.53,247.555
12718,1726.51,1027.87,244.459
12719,1726.51,1027.87,247.553
12720,1728.71,1026.21,244.396
