"ID","10..Simcenter NASTRAN Case 5, 8065..Plate Mid X Normal Strain","10..Simcenter NASTRAN Case 5, 8066..Plate Mid Y Normal Strain","10..Simcenter NASTRAN Case 5, 8068..Plate Mid XY Shear Strain"
2004,-0.00167766,0.000389849,-0.0015661
2005,-0.00150944,0.000364123,-0.00156446
2006,-0.00139837,0.000349979,-0.00155719
2007,-0.00128862,0.000330787,-0.00152109
2008,0.000366638,-0.00177928,0.00113909
2009,-0.0018733,0.000443423,-0.0012017
2010,-0.00215596,0.000575164,-0.00070988
2011,-0.00166671,0.000465452,-0.000352892
2012,-0.00154697,0.000444712,-0.000326248
2013,-0.00166377,0.000464428,-0.00024939
2014,-0.00154352,0.000442908,-0.000222712
2015,-0.00165388,0.000461858,-0.000146271
2016,-0.0015343,0.000440219,-0.000116378
2017,-0.00140165,0.000415965,-0.000105967
2018,-0.00196635,0.000406655,-0.00103521
2019,-0.00197627,0.000422868,-0.00110999
2020,-0.00193009,0.000425493,-0.00117962
2021,0.000393291,-0.00200121,0.000760921
2022,-0.00214323,0.000488496,-0.000995568
2023,-0.00205419,0.000483762,-0.00100911
2024,0.000442476,-0.00208824,0.000933473
2025,0.000451432,-0.00203343,0.00101724
2026,-0.00199968,0.000479485,-0.00117509
2027,-0.00190975,0.000452221,-0.00114647
2028,0.000410246,-0.00129718,0.0000164333
2029,0.000402212,-0.00127665,-0.0000863814
2030,0.000391644,-0.0012513,-0.000185397
2031,0.000359243,-0.00118439,-0.0003988
2032,0.000356264,-0.00132514,0.00148254
2033,-0.00145702,0.000393981,-0.00130017
2034,0.000412416,-0.00151302,0.00120398
2035,0.000428669,-0.00156168,0.00111139
2036,0.000441247,-0.00160417,0.00101599
2037,0.000451549,-0.00163958,0.000915342
2038,0.0004611,-0.00166906,0.00081207
2039,0.000467632,-0.00169189,0.00071024
2040,0.000471829,-0.00170776,0.000604835
2041,0.000474974,-0.00171738,0.000497954
2042,0.000617784,-0.00254805,0.000782193
2043,0.000505584,-0.00222153,-0.0000922538
2044,-0.00142919,0.000362304,-0.00153261
2045,0.000405364,-0.0015672,0.00134241
2046,0.000423795,-0.00162509,0.00124387
2047,0.000438806,-0.00167618,0.001152
2048,0.000452338,-0.00172066,0.0010498
2049,-0.0017576,0.000463191,-0.000951215
2050,0.00047129,-0.00178803,0.000847483
2051,-0.00181107,0.000478128,-0.000741318
2052,0.000482285,-0.00182708,0.000636407
2053,0.000484442,-0.00183609,0.000530343
2054,-0.0019302,0.000482492,-0.00119859
2055,0.000498118,-0.00199894,0.00114872
2056,0.000514174,-0.00207484,0.00112157
2057,0.000527854,-0.00213974,0.0010314
2058,-0.00218081,0.000537728,-0.000967408
2059,0.000541674,-0.002173,0.000881509
2060,0.000541877,-0.00214994,0.000811101
2061,0.000535578,-0.002154,0.000736287
2062,0.000592145,-0.00221751,-0.000206744
2063,-0.00131246,0.000375376,0.000314464
2064,0.000382711,-0.00133722,-0.000402502
2065,-0.00143933,0.00040726,0.000368681
2066,-0.0015422,0.000424225,0.000335035
2067,-0.00164081,0.000428861,0.000325831
2068,-0.00174347,0.000440206,0.00031838
2069,-0.0018762,0.000473729,0.000323592
2070,-0.00157518,0.00045871,0.000152407
2071,-0.00170223,0.000443176,0.0000960993
2072,-0.001738,0.000469553,0.0000975155
2073,-0.00179933,0.000471516,0.00014703
2074,0.000394818,-0.00137495,-0.000301197
2075,-0.00175641,0.000436635,-0.00130961
2076,0.000375321,-0.00139616,0.0013922
2077,0.000475577,-0.00172025,0.000392099
2078,0.000473978,-0.00171624,0.000285188
2079,0.000471319,-0.00170589,0.000179169
2080,0.000453102,-0.00193671,0.00141218
2081,0.000622868,-0.00256349,0.000662888
2082,0.000623356,-0.00255083,0.00057287
2083,0.00061441,-0.00247748,0.000458989
2084,0.000604681,-0.00239075,0.000360193
2085,0.000588186,-0.00234564,0.000249747
2086,-0.00232979,0.000563036,-0.000128126
2087,0.000531663,-0.00229762,0.00000787917
2088,0.000385508,-0.00150274,0.00143563
2089,0.000485405,-0.00183845,0.000421475
2090,0.000484172,-0.00183371,0.000314121
2091,0.000480603,-0.00182191,0.000207261
